Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:18460000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
18460000;1;13/04/2015;01/01/1900 14:38;2;13/04/2015;01/01/1900 15:00;2;774;"5699,492";"6386,046";"749,065";"0,892";"8,901";774;"29,4";;;
18460000;1;15/01/2015;01/01/1900 17:48;1;15/01/2015;01/01/1900 16:48;1;618;"4041,476";"5220,138";"755,322";"0,775";"11,61";618;"30,0";;;
18460000;1;23/04/2013;01/01/1900 13:21;1;23/04/2013;01/01/1900 13:21;1;789;"7212,001";"6684,73";"765,05";"1,079";"7,364";789;;;;
18460000;1;07/08/2012;01/01/1900 13:00;1;07/08/2012;01/01/1900 13:00;1;388;"1105,0";"3617,0";"744,95";"0,306";"3,481";;;;;
18460000;1;24/03/2012;01/01/1900 09:15;1;24/03/2012;01/01/1900 09:15;1;424;"8070,859";"7295,17";"769,02";"1,106";"5,236";;;;;
18460000;1;04/11/2011;01/01/1900 11:30;1;04/11/2011;01/01/1900 14:50;1;424;"1480,0";"3888,0";"748,43";"0,381";"9,486";424;"29,0";;;
18460000;1;19/08/2011;01/01/1900 10:00;1;19/08/2011;01/01/1900 10:00;1;274;"1042,6";"3612,67";"744,33";"0,29";"3,83";274;;;;
18460000;1;26/05/2011;01/01/1900 15:48;1;26/05/2011;01/01/1900 12:10;1;685;"4273,666";"5672,6";"758,6";"0,753";"9,825";685;"25,0";;;
18460000;1;06/02/2011;01/01/1900 15:40;1;06/02/2011;01/01/1900 15:40;1;142;"2944,0";"4,62";"9,47";"0,638";"8,37";;;;;
18460000;1;08/11/2010;01/01/1900 12:25;1;08/11/2010;01/01/1900 12:25;1;838;"1030,327";"3542,0";"743,47";"0,291";"4,686";838;"31,0";;;
18460000;1;10/08/2010;01/01/1900 10:45;1;10/08/2010;01/01/1900 10:45;1;365;"975,42";"3600,55";"713,96";"0,271";"2,835";365;"29,0";;;
18460000;1;14/05/2010;01/01/1900 12:30;1;14/05/2010;01/01/1900 12:30;1;601;"3887,427";"5369,53";"757,61";"0,724";"9,718";601;;;;
18460000;1;11/02/2010;01/01/1900 11:30;1;11/02/2010;01/01/1900 11:30;1;788;"11283,0";"11611,0";"1517,15";"0,972";"7,314";788;"26,0";;;
18460000;1;11/02/2010;01/01/1900 13:35;1;11/02/2010;01/01/1900 13:35;1;788;"11282,884";"11610,51";"1517,15";"0,972";"7,314";788;"26,0";;"9,0";
18460000;1;26/08/2009;01/01/1900 10:25;1;26/08/2009;01/01/1900 10:25;1;366;"1030,013";"3649,37";"741,73";"0,282";"3,019";366;"30,0";;"9,0";
18460000;1;23/05/2009;01/01/1900 13:00;1;23/05/2009;01/01/1900 13:00;1;795;"6547,771";"6740,73";"758,84";"0,971";"6,346";795;"27,7";;"13,0";
18460000;1;05/03/2009;01/01/1900 12:10;1;05/03/2009;01/01/1900 12:10;1;803;"6925,736";"6814,32";"762,33";"1,016";"9,149";803;"28,4";;;
18460000;1;21/11/2008;01/01/1900 09:10;1;21/11/2008;01/01/1900 09:10;1;390;"1322,401";"3969,31";"741,73";"0,333";"7,154";390;"30,0";;"11,0";
18460000;1;13/09/2008;01/01/1900 09:45;1;13/09/2008;01/01/1900 09:45;1;353;"1070,0";"3386,0";"734,06";"0,316";"4,972";353;"30,0";;;
18460000;1;08/08/2008;01/01/1900 11:50;1;08/08/2008;01/01/1900 11:50;1;385;"1185,462";"3737,03";"749,19";"0,317";"3,153";;"30,22";;;
